DATE,DR/CR,PARTICULARS,NARRATION,M # & CHQ #,VR #,DEBIT(RS.),CREDIT(RS.)
44869,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-110,,144
44869,DR,Bank Charges,Bank Charges,,ABL-54-BPV-111,900,
44869,CR,Bank ABL A/C # 54,Bank Charges,,ABL-54-BPV-111,,900
44873,DR,Bank Charges,Bank Charges,AC-PL52058,ABL-54-BPV-112,96,
44873,CR,Bank ABL A/C # 54,Bank Charges,AC-PL52058,ABL-54-BPV-112,,96
44873,DR,Bank Charges,Bank Charges,IWCLGRTLCY,ABL-54-BPV-113,600,
44873,CR,Bank ABL A/C # 54,Bank Charges,IWCLGRTLCY,ABL-54-BPV-113,,600
44880,DR,Purchase of Land,Registry expense paid to M/s Al Syed Associates for land measuring 1 Kanal from Noor Jahan etc. at Phase-2,70869247 BR0153,ABL-54-BPV-114,337000,
44880,CR,Bank ABL A/C # 54,Registry expense paid to M/s Al Syed Associates for land measuring 1 Kanal from Noor Jahan etc. at Phase-2,70869247 BR0153,ABL-54-BPV-114,,337000
44880,DR,Masjid Development,Purchase of different Sanitary & electric works etc. and also purchase the materials for making the foundation including the installation charges of RO Water Filter plant at Phase-2,70869252,ABL-54-BPV-115,23188,
44880,CR,Bank ABL A/C # 54,Purchase of different Sanitary & electric works etc. and also purchase the materials for making the foundation including the installation charges of RO Water Filter plant at Phase-2,70869252,ABL-54-BPV-115,,23188
44880,DR,Legal and Professional,Monthly Service Charges of M/s Eagle Associates for the m/o October 2022,70869258,ABL-54-BPV-116,9000,
44880,CR,Bank ABL A/C # 54,Monthly Service Charges of M/s Eagle Associates for the m/o October 2022,70869258,ABL-54-BPV-116,,9000
44880,DR,Legal and Professional,Salary of Legal Advisor for the m/o October 2022,70869256,ABL-54-BPV-117,20000,
44880,CR,Bank ABL A/C # 54,Salary of Legal Advisor for the m/o October 2022,70869256,ABL-54-BPV-117,,20000
44880,DR,Legal and Professional,Salary of Professional Consultant for the m/o October 2022,70869257,ABL-54-BPV-118,20000,
44880,CR,Bank ABL A/C # 54,Salary of Professional Consultant for the m/o October 2022,70869257,ABL-54-BPV-118,,20000
44889,DR,Legal and Professional,Paid to Legal Advisor for the case pending in the court of Assistant Commissioner Model Town Lahore,72083391,ABL-54-BPV-119,66000,
44889,CR,Bank ABL A/C # 54,Paid to Legal Advisor for the case pending in the court of Assistant Commissioner Model Town Lahore,72083391,ABL-54-BPV-119,,66000
44889,DR,Legal and Professional,Paid to Waqas Ali (WBH Consulting) for filing an income tax return for the period 30-06-2022,70869263,ABL-54-BPV-120,69000,
44889,CR,Bank ABL A/C # 54,Paid to Waqas Ali (WBH Consulting) for filing an income tax return for the period 30-06-2022,70869263,ABL-54-BPV-120,,69000
44889,DR,Water and Electricity Expense,Paid to M/s Afzal Electric Transformer for the repair and Maintenance of 25-KV at Phase-2,70869262,ABL-54-BPV-121,47000,
44889,CR,Bank ABL A/C # 54,Paid to M/s Afzal Electric Transformer for the repair and Maintenance of 25-KV at Phase-2,70869262,ABL-54-BPV-121,,47000
44889,DR,Repair and Maintenance Phase-II,Paid for the Repair and Maintenance of Boundary Wall including Material at Phase-2,70869261,ABL-54-BPV-122,28225,
44889,CR,Bank ABL A/C # 54,Paid for the Repair and Maintenance of Boundary Wall including Material at Phase-2,70869261,ABL-54-BPV-122,,28225
44889,DR,Tube Well ,Paid to M/s Bismillah electric works for the purchase of 2nd Hand Motor (40-HP) for Society' Tubewell at Phase-2,70869264,ABL-54-BPV-123,181450,
44889,CR,Bank ABL A/C # 54,Paid to M/s Bismillah electric works for the purchase of 2nd Hand Motor (40-HP) for Society' Tubewell at Phase-2,70869264,ABL-54-BPV-123,,181450
44889,DR,Printing and Stationary,Purchase of office Stationary for office use,70869260,ABL-54-BPV-124,20070,
44889,CR,Bank ABL A/C # 54,Purchase of office Stationary for office use,70869260,ABL-54-BPV-124,,20070
44889,DR,Water and Electricity Expense,"Paid for Digging bore, hole and water supply connection including labour charges of plot no. 62-A, 83-A etc. at Phase-2",70869259,ABL-54-BPV-125,22900,
44889,CR,Bank ABL A/C # 54,"Paid for Digging bore, hole and water supply connection including labour charges of plot no. 62-A, 83-A etc. at Phase-2",70869259,ABL-54-BPV-125,,22900
44889,DR,Demarcation Expense,"Demarcation Bill paid for plot no. 4-B, 117-C etc. at Phase-2",70869246,ABL-54-BPV-126,12000,
44889,CR,Bank ABL A/C # 54,"Demarcation Bill paid for plot no. 4-B, 117-C etc. at Phase-2",70869246,ABL-54-BPV-126,,12000
44889,DR,Utility Bills,Sui Gas Bill for the m/o September and October 2022,70869266,ABL-54-BPV-127,530,
44889,CR,Bank ABL A/C # 54,Sui Gas Bill for the m/o September and October 2022,70869266,ABL-54-BPV-127,,530
44889,DR,Utility Bills,Telephone Bill for the m/o October 2022,70869267,ABL-54-BPV-128,5815,
44889,DR,Advance Tax,Telephone Bill for the m/o October 2022,70869267,ABL-54-BPV-128,435,
44889,CR,Bank ABL A/C # 54,Telephone Bill for the m/o October 2022,70869267,ABL-54-BPV-128,,6250
44889,DR,Legal and Professional,Paid Court Fee including Misc Charges for the institution of Civil court for the case,72083392,ABL-54-BPV-129,23000,
44889,CR,Bank ABL A/C # 54,Paid Court Fee including Misc Charges for the institution of Civil court for the case,72083392,ABL-54-BPV-129,,23000
44889,DR,Property Tax,Paid Property Tax of Society Office for the year 2022-2023,70869269,ABL-54-BPV-130,5393,
44889,CR,Bank ABL A/C # 54,Paid Property Tax of Society Office for the year 2022-2023,70869269,ABL-54-BPV-130,,5393
44889,DR,Printing and Stationary,Paid to M/s Unique Business for the changing of new copier Toner for office use,70869268,ABL-54-BPV-131,3000,
44889,CR,Bank ABL A/C # 54,Paid to M/s Unique Business for the changing of new copier Toner for office use,70869268,ABL-54-BPV-131,,3000
44895,DR,Advance Tax,Advance Tax,1LINK Inter-Bank FT,ABL-54-BPV-132,421,
44895,CR,Bank ABL A/C # 54,Advance Tax,1LINK Inter-Bank FT,ABL-54-BPV-132,,421
44897,DR,Legal and Professional,Monthly Service Charges of M/s Eagle Associates for the m/o November 2022,72083395,ABL-54-BPV-133,9000,
44897,CR,Bank ABL A/C # 54,Monthly Service Charges of M/s Eagle Associates for the m/o November 2022,72083395,ABL-54-BPV-133,,9000
44897,DR,Legal and Professional,Salary of Legal Advisor for the m/o November 2022,72083393,ABL-54-BPV-134,20000,
44897,CR,Bank ABL A/C # 54,Salary of Legal Advisor for the m/o November 2022,72083393,ABL-54-BPV-134,,20000
44897,DR,Legal and Professional,Salary of Professional Consultant for the m/o November 2022,72083394,ABL-54-BPV-135,20000,
44897,CR,Bank ABL A/C # 54,Salary of Professional Consultant for the m/o November 2022,72083394,ABL-54-BPV-135,,20000
44897,DR,Cash Withdrawal,Staff Salaries for the m/o November 2022,72083399,ABL-54-BPV-136,831000,
44897,CR,Bank ABL A/C # 54,Staff Salaries for the m/o November 2022,72083399,ABL-54-BPV-136,,831000
44903,DR,Purchase of Land,Registry expense paid to M/s Al Syed Associates for land measuring 13 Marla 112 Sqft from M Nawaz etc. at Phase-2,70869249,ABL-54-BPV-137,115900,
44903,DR,Advance Tax,Registry expense paid to M/s Al Syed Associates for land measuring 13 Marla 112 Sqft from M Nawaz etc. at Phase-2,70869249,ABL-54-BPV-137,36500,
44903,CR,Bank ABL A/C # 54,Registry expense paid to M/s Al Syed Associates for land measuring 13 Marla 112 Sqft from M Nawaz etc. at Phase-2,70869249,ABL-54-BPV-137,,152400
44911,DR,Utility Bills,Electricity Bill (Office) for the m/o October and November 2022,72083398,ABL-54-BPV-138,39398,
44911,CR,Bank ABL A/C # 54,Electricity Bill (Office) for the m/o October and November 2022,72083398,ABL-54-BPV-138,,39398
44911,DR,Cash Withdrawal,Petty Cash for the m/o December  2022,72083396,ABL-54-BPV-139,155000,
44911,CR,Bank ABL A/C # 54,Petty Cash for the m/o December  2022,72083396,ABL-54-BPV-139,,155000
44915,DR,Bank Charges,Bank Charges,AC-PL52058,ABL-54-BPV-140,96,
44915,CR,Bank ABL A/C # 54,Bank Charges,AC-PL52058,ABL-54-BPV-140,,96
44915,DR,Bank Charges,Bank Charges,IWCLGRTLCY,ABL-54-BPV-141,600,
44915,CR,Bank ABL A/C # 54,Bank Charges,IWCLGRTLCY,ABL-54-BPV-141,,600
44926,DR,Advance Tax,Advance Tax,,ABL-54-BPV-142,162,
44926,CR,Bank ABL A/C # 54,Advance Tax,,ABL-54-BPV-142,,162
44930,DR,Printing and Stationary,Purchase of office Stationary for office use,72083402,ABL-54-BPV-143,13410,
44930,CR,Bank ABL A/C # 54,Purchase of office Stationary for office use,72083402,ABL-54-BPV-143,,13410
44930,DR,Utility Bills,Water/Sewerage and Drainage Bill for the Preiod 29-09-2022 to 29-11-2022,72083401,ABL-54-BPV-144,4460,
44930,CR,Bank ABL A/C # 54,Water/Sewerage and Drainage Bill for the Preiod 29-09-2022 to 29-11-2022,72083401,ABL-54-BPV-144,,4460
44930,DR,Cash Withdrawal,Staff Salaries for the m/o December 2022,72083404,ABL-54-BPV-145,831000,
44930,CR,Bank ABL A/C # 54,Staff Salaries for the m/o December 2022,72083404,ABL-54-BPV-145,,831000
44936,DR,Bank Charges,Bank Charges,AC-PL52797,ABL-54-BPV-146,56,
44936,CR,Bank ABL A/C # 54,Bank Charges,AC-PL52797,ABL-54-BPV-146,,56
44936,DR,Bank Charges,Bank Charges,SKC,ABL-54-BPV-147,350,
44936,CR,Bank ABL A/C # 54,Bank Charges,SKC,ABL-54-BPV-147,,350
44939,DR,Purchase of Land,Registry expense paid to M/s Al Syed Associates for land measuring 9 Marla 112 Sqft from Farooq Javed at Phase-2,72083403,ABL-54-BPV-148,222760,
44939,DR,Advance Tax,Registry expense paid to M/s Al Syed Associates for land measuring 9 Marla 112 Sqft from Farooq Javed at Phase-2,72083403,ABL-54-BPV-148,147340,
44939,CR,Bank ABL A/C # 54,Registry expense paid to M/s Al Syed Associates for land measuring 9 Marla 112 Sqft from Farooq Javed at Phase-2,72083403,ABL-54-BPV-148,,370100
44939,DR,Legal and Professional,Monthly Service Charges of M/s Eagle Associates for the m/o December 2022,72083408,ABL-54-BPV-149,9000,
44939,CR,Bank ABL A/C # 54,Monthly Service Charges of M/s Eagle Associates for the m/o December 2022,72083408,ABL-54-BPV-149,,9000
44939,DR,Legal and Professional,Salary of Legal Advisor for the m/o December 2022,72083406,ABL-54-BPV-150,20000,
44939,CR,Bank ABL A/C # 54,Salary of Legal Advisor for the m/o December 2022,72083406,ABL-54-BPV-150,,20000
44939,DR,Legal and Professional,Salary of Professional Consultant for the m/o December 2022,72083407,ABL-54-BPV-151,20000,
44939,CR,Bank ABL A/C # 54,Salary of Professional Consultant for the m/o December 2022,72083407,ABL-54-BPV-151,,20000
44939,DR,Utility Bills,Electricity Bill (Office) for the m/o December 2022,72083409,ABL-54-BPV-152,6956,
44939,CR,Bank ABL A/C # 54,Electricity Bill (Office) for the m/o December 2022,72083409,ABL-54-BPV-152,,6956
44939,DR,Cash Withdrawal,Petty Cash for the m/o January  2023,72083405,ABL-54-BPV-153,155000,
44939,CR,Bank ABL A/C # 54,Petty Cash for the m/o January  2023,72083405,ABL-54-BPV-153,,155000
44944,DR,Bank Charges,Bank Charges,AC-PL52058,ABL-54-BPV-154,112,
44944,CR,Bank ABL A/C # 54,Bank Charges,AC-PL52058,ABL-54-BPV-154,,112
44944,DR,Bank Charges,Bank Charges,IWCLGRTLCY,ABL-54-BPV-155,700,
44944,CR,Bank ABL A/C # 54,Bank Charges,IWCLGRTLCY,ABL-54-BPV-155,,700
44949,DR,Purchase of Land,Registry expense paid to M/s Al Syed Associates for land measuring 1 Kanal from Rashid Iqbal etc. at Phase-2,70869248,ABL-54-BPV-156,341000,
44949,CR,Bank ABL A/C # 54,Registry expense paid to M/s Al Syed Associates for land measuring 1 Kanal from Rashid Iqbal etc. at Phase-2,70869248,ABL-54-BPV-156,,341000
44953,DR,Utility Bills,Telephone Bill for the m/o November and December 2022,72083424,ABL-54-BPV-157,13707,
44953,DR,Advance Tax,Telephone Bill for the m/o November and December 2022,72083424,ABL-54-BPV-157,413,
44953,CR,Bank ABL A/C # 54,Telephone Bill for the m/o November and December 2022,72083424,ABL-54-BPV-157,,14120
44953,DR,Water and Electricity Expense,"Paid to Irshad for the purchase of 4 electric meters, 2 boxes and different electric items etc. including labour charges at Phase-2",72083410,ABL-54-BPV-158,32390,
44953,CR,Bank ABL A/C # 54,"Paid to Irshad for the purchase of 4 electric meters, 2 boxes and different electric items etc. including labour charges at Phase-2",72083410,ABL-54-BPV-158,,32390
44953,DR,Demarcation Expense,"Demarcation Bill paid for plot no. 194-A, 6-B etc. at Phase-2",72083418,ABL-54-BPV-159,13500,
44953,CR,Bank ABL A/C # 54,"Demarcation Bill paid for plot no. 194-A, 6-B etc. at Phase-2",72083418,ABL-54-BPV-159,,13500
44953,DR,Utility Bills,Water/Sewerage and Drainage Bill for the Preiod 29-11-2022 to 30-12-2022,72083420,ABL-54-BPV-160,1430,
44953,CR,Bank ABL A/C # 54,Water/Sewerage and Drainage Bill for the Preiod 29-11-2022 to 30-12-2022,72083420,ABL-54-BPV-160,,1430
44953,DR,Printing and Stationary,Purchase of office Stationary for office use,72083421,ABL-54-BPV-161,13950,
44953,CR,Bank ABL A/C # 54,Purchase of office Stationary for office use,72083421,ABL-54-BPV-161,,13950
44953,DR,Weapon Expense,"Paid M/s Adam Khan for the purchase of 100 rounds cartages 12 bore shot gun, 50-rounds 30 bore pistol at Phase-2",72083417,ABL-54-BPV-162,15500,
44953,CR,Bank ABL A/C # 54,"Paid M/s Adam Khan for the purchase of 100 rounds cartages 12 bore shot gun, 50-rounds 30 bore pistol at Phase-2",72083417,ABL-54-BPV-162,,15500
44953,DR,Advertisement,Paid for the awareness about Quaid e Azam Day in Daily Ausaaf,72083416,ABL-54-BPV-163,25000,
44953,CR,Bank ABL A/C # 54,Paid for the awareness about Quaid e Azam Day in Daily Ausaaf,72083416,ABL-54-BPV-163,,25000
44953,DR,Utility Bills,Sui Gas Bill for the m/o November 2022,72083414,ABL-54-BPV-164,250,
44953,CR,Bank ABL A/C # 54,Sui Gas Bill for the m/o November 2022,72083414,ABL-54-BPV-164,,250
44956,DR,Advertisement,Paid for the awareness about Quaid e Azam Day in Daily City 42,72083415,ABL-54-BPV-165,30000,
44956,CR,Bank ABL A/C # 54,Paid for the awareness about Quaid e Azam Day in Daily City 42,72083415,ABL-54-BPV-165,,30000
44956,DR,Legal and Professional,Paid to M/s Sevcon Services Consultant of Bill No. 118 and 119 in Block A at Phase-2,72083412,ABL-54-BPV-166,33640,
44956,CR,Bank ABL A/C # 54,Paid to M/s Sevcon Services Consultant of Bill No. 118 and 119 in Block A at Phase-2,72083412,ABL-54-BPV-166,,33640
44956,DR,Advance for Purchase of Land ,Advance Payment paid to M Ramzan etc. for the purchase of land measuring 1 Kanal 150 Sqft at Phase-2,72083432,ABL-54-BPV-167,2000000,
44956,CR,Bank ABL A/C # 54,Advance Payment paid to M Ramzan etc. for the purchase of land measuring 1 Kanal 150 Sqft at Phase-2,72083432,ABL-54-BPV-167,,2000000
44956,DR,Advance for Purchase of Land ,Advance Payment paid to M Idrees for the purchase of land measuring 13 Marla 75 Sqft at Phase-2,72083431,ABL-54-BPV-168,2000000,
44956,CR,Bank ABL A/C # 54,Advance Payment paid to M Idrees for the purchase of land measuring 13 Marla 75 Sqft at Phase-2,72083431,ABL-54-BPV-168,,2000000
44957,DR,Advance Tax,Advance Tax,,ABL-54-BPV-169,3937,
44957,CR,Bank ABL A/C # 54,Advance Tax,,ABL-54-BPV-169,,3937
44958,DR,Utility Bills,Sui Gas Bill for the m/o December 2022,72083422,ABL-54-BPV-170,390,
44958,CR,Bank ABL A/C # 54,Sui Gas Bill for the m/o December 2022,72083422,ABL-54-BPV-170,,390
44958,DR,Legal and Professional,Monthly Service Charges of M/s Eagle Associates for the m/o January 2023,72083438,ABL-54-BPV-171,9000,
44958,CR,Bank ABL A/C # 54,Monthly Service Charges of M/s Eagle Associates for the m/o January 2023,72083438,ABL-54-BPV-171,,9000
44958,DR,Office Equipment,Purchase of Branded Electric and Gas Heater for President Roon at Office,72083423,ABL-54-BPV-172,30000,
44958,CR,Bank ABL A/C # 54,Purchase of Branded Electric and Gas Heater for President Roon at Office,72083423,ABL-54-BPV-172,,30000
44958,DR,Masjid Development,Paid for the purchase of different hardware and electric items for the making of masjid's dome including labour charges at phase-2,72083425,ABL-54-BPV-173,44240,
44958,CR,Bank ABL A/C # 54,Paid for the purchase of different hardware and electric items for the making of masjid's dome including labour charges at phase-2,72083425,ABL-54-BPV-173,,44240
44958,DR,Repair and Maintenance Phase-II,"Paid to M/s Bismillah Electric for the installation of new stage pump new ms cdum pipe, 30 ft 25mm (3core) cable and Repair and Maintenance of AV-NVR wall including labour charges for Society's Phase-2 Tubewell in Block B",72083411,ABL-54-BPV-174,113000,
44958,CR,Bank ABL A/C # 54,"Paid to M/s Bismillah Electric for the installation of new stage pump new ms cdum pipe, 30 ft 25mm (3core) cable and Repair and Maintenance of AV-NVR wall including labour charges for Society's Phase-2 Tubewell in Block B",72083411,ABL-54-BPV-174,,113000
44958,DR,Water and Electricity Expense,"Paid for digging bore, hole and water supply connection including labour charges of plot no. 6-A, 194-A etc. at phase-2",72083419,ABL-54-BPV-175,29000,
44958,CR,Bank ABL A/C # 54,"Paid for digging bore, hole and water supply connection including labour charges of plot no. 6-A, 194-A etc. at phase-2",72083419,ABL-54-BPV-175,,29000
44959,DR,Cash Withdrawal,Staff Salaries for the m/o January 2023,72083434,ABL-54-BPV-176,831000,
44959,CR,Bank ABL A/C # 54,Staff Salaries for the m/o January 2023,72083434,ABL-54-BPV-176,,831000
44959,DR,Legal and Professional,Salary of Legal Advisor for the m/o Junuary 2023,72083436,ABL-54-BPV-177,20000,
44959,CR,Bank ABL A/C # 54,Salary of Legal Advisor for the m/o Junuary 2023,72083436,ABL-54-BPV-177,,20000
44959,DR,Legal and Professional,Salary of Professional Consultant for the m/o Junuary 2023,72083437,ABL-54-BPV-178,20000,
44959,CR,Bank ABL A/C # 54,Salary of Professional Consultant for the m/o Junuary 2023,72083437,ABL-54-BPV-178,,20000
44964,DR,Cash Withdrawal,Petty Cash for the m/o Febuary  2023,72083435,ABL-54-BPV-179,155000,
44964,CR,Bank ABL A/C # 54,Petty Cash for the m/o Febuary  2023,72083435,ABL-54-BPV-179,,155000
44970,DR,Utility Bills,"Water, Sewerage and Darainage Bill for the period of 30-12-2022 to 29-01-2023",72083440,ABL-54-BPV-180,1390,
44970,CR,Bank ABL A/C # 54,"Water, Sewerage and Darainage Bill for the period of 30-12-2022 to 29-01-2023",72083440,ABL-54-BPV-180,,1390
44970,DR,Weapon Expense,Paid to M/s Adam Khan for the purchase of 50-round cartage 12-bore shortgun for society Phase-2,72083441,ABL-54-BPV-181,6000,
44970,CR,Bank ABL A/C # 54,Paid to M/s Adam Khan for the purchase of 50-round cartage 12-bore shortgun for society Phase-2,72083441,ABL-54-BPV-181,,6000
44970,DR,Utility Bills,Electricit Bill Office for the m/o January 2023,72083439,ABL-54-BPV-182,9919,
44970,CR,Bank ABL A/C # 54,Electricit Bill Office for the m/o January 2023,72083439,ABL-54-BPV-182,,9919
44970,DR,Legal and Professional,"Paid to Advocate for civil proceedings against LESCO for suit in the civil court, Lahore",72083442,ABL-54-BPV-183,125000,
44970,CR,Bank ABL A/C # 54,"Paid to Advocate for civil proceedings against LESCO for suit in the civil court, Lahore",72083442,ABL-54-BPV-183,,125000
44974,DR,Water and Electricity Expense,Different bills paid for the purchase of electric items etc. and carriage of cable moving from factory to sociey's site including labour charges for the upgradation of electric works in Society at phase-2,72083443,ABL-54-BPV-184,51145,
44974,CR,Bank ABL A/C # 54,Different bills paid for the purchase of electric items etc. and carriage of cable moving from factory to sociey's site including labour charges for the upgradation of electric works in Society at phase-2,72083443,ABL-54-BPV-184,,51145
44974,DR,Masjid Development,Different bills paid for the purchase of different hardware and electric items for society's Phase-2 Masjid including labour charges at site phase-2,72083444,ABL-54-BPV-185,37340,
44974,CR,Bank ABL A/C # 54,Different bills paid for the purchase of different hardware and electric items for society's Phase-2 Masjid including labour charges at site phase-2,72083444,ABL-54-BPV-185,,37340
44974,DR,Demarcation Expense,"Demarcating bill paid for demarcation of plot no. 97-A, 103-A etc. at phase-2",72083445,ABL-54-BPV-186,33000,
44974,CR,Bank ABL A/C # 54,"Demarcating bill paid for demarcation of plot no. 97-A, 103-A etc. at phase-2",72083445,ABL-54-BPV-186,,33000
44977,DR,Water and Electricity Expense,"Paid for digging bore, hole and water supply connection including labour charges of plot no. 6-A, 194-A etc. at phase-2",72083428,ABL-54-BPV-187,31100,
44977,CR,Bank ABL A/C # 54,"Paid for digging bore, hole and water supply connection including labour charges of plot no. 6-A, 194-A etc. at phase-2",72083428,ABL-54-BPV-187,,31100
44977,DR,Water and Electricity Expense,Bill Paid to M/s Mutahir Metal Works for the purchase and supply of 4-coil 10mm cable for the upgradation of electric works at society site Phase-2,72083429,ABL-54-BPV-188,60000,
44977,CR,Bank ABL A/C # 54,Bill Paid to M/s Mutahir Metal Works for the purchase and supply of 4-coil 10mm cable for the upgradation of electric works at society site Phase-2,72083429,ABL-54-BPV-188,,60000
44978,DR,Repair and Maintenance Phase-II,Paid to M/s Afzal electric for the repair and maintenance and wiring of 200-KV Transformer at Society Phase-2,72083433,ABL-54-BPV-189,98500,
44978,CR,Bank ABL A/C # 54,Paid to M/s Afzal electric for the repair and maintenance and wiring of 200-KV Transformer at Society Phase-2,72083433,ABL-54-BPV-189,,98500
44981,DR,Bank Charges,Bank Charges,AC-PL52058,ABL-54-BPV-190,112,
44981,CR,Bank ABL A/C # 54,Bank Charges,AC-PL52058,ABL-54-BPV-190,,112
44981,DR,Bank Charges,Bank Charges,IWCLGRTLCY,ABL-54-BPV-191,700,
44981,CR,Bank ABL A/C # 54,Bank Charges,IWCLGRTLCY,ABL-54-BPV-191,,700
44985,DR,Refund Member's Installment for Land Cost,Refund Payment to Rehana Shafique due to shortage of land on its both plots (shortage of 1 marla land) ,72083430,ABL-54-BPV-192,1000000,
44985,CR,Bank ABL A/C # 54,Refund Payment to Rehana Shafique due to shortage of land on its both plots (shortage of 1 marla land) ,72083430,ABL-54-BPV-192,,1000000
44985,DR,Advance Tax,Advance Tax,,,2181,
44985,CR,Bank ABL A/C # 54,Advance Tax,,,,2181
44986,DR,Development Expenditure,Bill No. 119 paid to M/s Nevcon Constructor for the construction of water supply network in Block D at Phase-2,72083450,ABL-54-BPV-193,307357,
44986,CR,Bank ABL A/C # 54,Bill No. 119 paid to M/s Nevcon Constructor for the construction of water supply network in Block D at Phase-2,72083450,ABL-54-BPV-193,,307357
44986,DR,Development Expenditure,Running Bill paid to M/s Nevcon Constructor for the installation of Main Sewerage & drainage pipe connecting to main khaira distributory at Phase-2,72083426,ABL-54-BPV-194,171046,
44986,CR,Bank ABL A/C # 54,Running Bill paid to M/s Nevcon Constructor for the installation of Main Sewerage & drainage pipe connecting to main khaira distributory at Phase-2,72083426,ABL-54-BPV-194,,171046
44986,DR,Legal and Professional,Monthly Service Charges of M/s Eagle Associates for the m/o February 2023,72083460,ABL-54-BPV-195,9000,
44986,CR,Bank ABL A/C # 54,Monthly Service Charges of M/s Eagle Associates for the m/o February 2023,72083460,ABL-54-BPV-195,,9000
44986,DR,Legal and Professional,Salary of Legal Advisor for the m/o February 2023,72083458,ABL-54-BPV-196,20000,
44986,CR,Bank ABL A/C # 54,Salary of Legal Advisor for the m/o February 2023,72083458,ABL-54-BPV-196,,20000
44986,DR,Legal and Professional,Salary of Professional Consultant for the m/o February 2023,72083459,ABL-54-BPV-197,20000,
44986,CR,Bank ABL A/C # 54,Salary of Professional Consultant for the m/o February 2023,72083459,ABL-54-BPV-197,,20000
44986,DR,Cash Withdrawal,Petty Cash for the m/o March  2023,72083457,ABL-54-BPV-198,155000,
44986,CR,Bank ABL A/C # 54,Petty Cash for the m/o March  2023,72083457,ABL-54-BPV-198,,155000
44986,DR,Legal and Professional,Paid to Sohail Zahoor Advocate for civil proceedings against LESCO in the civil court,72083452,ABL-54-BPV-199,55000,
44986,CR,Bank ABL A/C # 54,Paid to Sohail Zahoor Advocate for civil proceedings against LESCO in the civil court,72083452,ABL-54-BPV-199,,55000
44986,DR,Utility Bills,Telephone Bill for the m/o Janaury 2023,72083446,ABL-54-BPV-200,6105,
44986,DR,Advance Tax,Telephone Bill for the m/o Janaury 2023,72083446,ABL-54-BPV-200,285,
44986,CR,Bank ABL A/C # 54,Telephone Bill for the m/o Janaury 2023,72083446,ABL-54-BPV-200,,6390
44986,DR,Water and Electricity Expense,"Paid for digging bore, hole and water supply connection including labour charges of plot no. 171-A, 62-B etc at Phase-2",72083447,ABL-54-BPV-201,21700,
44986,CR,Bank ABL A/C # 54,"Paid for digging bore, hole and water supply connection including labour charges of plot no. 171-A, 62-B etc at Phase-2",72083447,ABL-54-BPV-201,,21700
44986,DR,Cash Withdrawal,Staff Salaries for the m/o February 2023,72083456,ABL-54-BPV-202,836000,
44986,CR,Bank ABL A/C # 54,Staff Salaries for the m/o February 2023,72083456,ABL-54-BPV-202,,836000
44986,DR,FED Deduction,,72083454,ABL-54-BPV-203,3,
44986,CR,Bank ABL A/C # 54,,72083454,ABL-54-BPV-203,,3
44986,DR,Bank Charges,,72083454,ABL-54-BPV-204,20,
44986,CR,Bank ABL A/C # 54,,72083454,ABL-54-BPV-204,,20
44986,DR,Purchase of Land,"Registry expense paid to M/s Al Syed Associates for registry of land measuring 4-marla from Farooq Javed from Khawat No. 54, Khatoni No. 62 at Phase-2",72083454 BR0419,ABL-54-BPV-205,99300,
44986,DR,Advance Tax,"Registry expense paid to M/s Al Syed Associates for registry of land measuring 4-marla from Farooq Javed from Khawat No. 54, Khatoni No. 62 at Phase-2",72083454 BR0419,ABL-54-BPV-205,52480,
44986,CR,Bank ABL A/C # 54,"Registry expense paid to M/s Al Syed Associates for registry of land measuring 4-marla from Farooq Javed from Khawat No. 54, Khatoni No. 62 at Phase-2",72083454 BR0419,ABL-54-BPV-205,,151780
44986,DR,FED Deduction,,AC-PL52058,ABL-54-BPV-206,112,
44986,CR,Bank ABL A/C # 54,,AC-PL52058,ABL-54-BPV-206,,112
44986,DR,Service Charges,,IWCLGRTLCY,ABL-54-BPV-207,700,
44986,CR,Bank ABL A/C # 54,,IWCLGRTLCY,ABL-54-BPV-207,,700
44987,DR,FED Deduction,,72083455,ABL-54-BPV-208,3,
44987,CR,Bank ABL A/C # 54,,72083455,ABL-54-BPV-208,,3
44987,DR,Bank Charges,,72083455,ABL-54-BPV-209,20,
44987,CR,Bank ABL A/C # 54,,72083455,ABL-54-BPV-209,,20
44987,DR,Purchase of Land,"Registry expense paid to M/s Al Syed Associates for registry of land measuring 6-marla 150 Sqft from Muhammad Iftikhar from Khawat No. 205, Khatoni No. 249 at Phase-2",72083455 BR0876,ABL-54-BPV-210,122600,
44987,DR,Advance Tax,"Registry expense paid to M/s Al Syed Associates for registry of land measuring 6-marla 150 Sqft from Muhammad Iftikhar from Khawat No. 205, Khatoni No. 249 at Phase-2",72083455 BR0876,ABL-54-BPV-210,87470,
44987,CR,Bank ABL A/C # 54,"Registry expense paid to M/s Al Syed Associates for registry of land measuring 6-marla 150 Sqft from Muhammad Iftikhar from Khawat No. 205, Khatoni No. 249 at Phase-2",72083455 BR0876,ABL-54-BPV-210,,210070
44987,DR,FED Deduction,,72083453,ABL-54-BPV-211,3,
44987,CR,Bank ABL A/C # 54,,72083453,ABL-54-BPV-211,,3
44987,DR,Bank Charges,,72083453,ABL-54-BPV-212,20,
44987,CR,Bank ABL A/C # 54,,72083453,ABL-54-BPV-212,,20
